qnummer;snummer
q0657889;r0457247
q0399297;r0253471
q0645087;r0450820
q0748889;r0461296
q0652473;r0452327
q0781191;r0462489
q0682732;r0452551
q0660819;r0465474
q0650348;r0464168
q0646210;r0456475
q0752454;r0449352
q0643404;r0455755
q0730316;r0443542
q0743360;r0454555
q0613452;r0461291
q0439288;r0292518
q0433218;r0286380
q0633922;r0378403
q0759662;r0441177
q0764032;r0458124
q0669467;r0454733
q0507062;r0467849
q0666904;r0470846
q0764970;r0449249
q0646041;r0453310
q0646311;r0443548
q0738417;r0434675
q0749760;r0449323
q0649373;r0468920
q0663195;r0468309
q0729430;r0451199
q0730998;r0460630
q0760084;r0443547
q0738293;r0468578
q0769017;r0459067
q0648042;r0468399
q0749878;r0467756
q0666888;r0461203
q0754798;r0453359
q0613500;r0443549
q0613892;r0458725
q0766814;r0464895
q0646439;r0456577
q0642272;r0468209
q0738148;r0467667
q0669390;r0470454
q0731505;r0460779
q0652192;r0443554
q0682428;r0467729
q0766269;r0467551
q0461084;r0384764
q0674806;r0469560
q0738773;r0457940
q0600959;r0467813
q0792339;r0470695
q0645705;r0456885
q0654437;r0468611
q0639787;r0457696
q0649761;r0449487
q0658554;r0459072
q0682369;r0460907
q0640284;r0462493
q0533733;r0468316
q0473336;r0373545
q0662105;r0450186
q0670792;r0454530
q0497982;r0461899
q0197839;s0169303
q0658484;r0450556
q0759872;r0443607
q0760025;r0457760
q0472764;r0458161
q0471614;r0380086
q0749414;r0461253
q0646093;r0469565
q0475205;r0456581
q0738701;r0469534
q0649265;r0470532
q0645520;r0457301
q0781359;r0463262
q0644411;r0470037
q0658502;r0443571
q0658590;r0461629
q0729421;r0453306
q0658416;r0450546
q0677387;r0455905
q0645857;r0458159
q0645500;r0470275
q0646672;r0452010
q0663971;r0449355
q0748933;r0449594
q0729224;r0462532
q0666899;r0457236
q0781519;r0463231
q0748898;r0449010
q0467483;r0370905
q0731685;r0464578
q0646464;r0459938
q0730433;r0467807
q0467032;r0467846
q0657512;r0466488
q0620135;r0454320
q0674855;r0458412
q0643696;r0459923
q0766799;r0457366
q0600171;r0380818
q0652578;r0457910
q0467953;r0383735
q0661541;r0458593
q0748903;r0458888
q0269468;u0002156
q0821023;r0468973
q0714021;r0460761
q0758487;r0442237
q0460926;r0376592
q0666764;r0462293
q0644075;r0469081
q0649310;r0458434
q0662303;r0451368
q0612773;r0469882
q0753783;r0468898
q0646270;r0454909
q0730270;r0467830
q0470593;r0454510
q0454331;r0306867
q0729766;r0449416
